CustomerName,ContactLastName,ContactFirstName,Phone,Address,City,State,PostalCode,Country,Territory
"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,(91) 555 22 82,"C/ Araquil, 67",Madrid,,28023,Spain,EMEA
"Dragon Souveniers, Ltd.",Natividad,Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,79903,Singapore,Japan
Classic Legends Inc.,Hernandez,Maria,2125558493,5905 Pompton St.,NYC,NY,10022,USA,NA
"Australian Gift Network, Co",Calaghan,Tony,61-7-3844-6555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,APAC
"Classic Gift Ideas, Inc",Cervantes,Francisca,2155554695,782 First Street,Philadelphia,PA,71270,USA,NA
"Saveley & Henriot, Co.",Saveley,Mary,78.32.5555,"2, rue du Commerce",Lyon,,69004,France,EMEA
Canadian Gift Exchange Network,Tannamuri,Yoshi,(604) 555-3392,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,NA
West Coast Collectables Co.,Thompson,Steve,3105553722,3675 Furth Circle,Burbank,CA,94019,USA,NA
Cambridge Collectables Co.,Tseng,Kyung,6175555555,4658 Baden Av.,Cambridge,MA,51247,USA,NA
Super Scale Inc.,Murphy,Leslie,2035559545,567 North Pendale Street,New Haven,CT,97823,USA,NA
"Tokyo Collectables, Ltd",Shimamura,Akiko,+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Japan
Amica Models & Co.,Accorti,Paolo,011-4988555,Via Monte Bianco 34,Torino,,10100,Italy,EMEA
Scandinavian Gift Ideas,Larsson,Maria,0695-34 6555,?kergatan 24,Boras,,S-844 67,Sweden,EMEA
Auto Assoc. & Cie.,Tonini,Daniel,30.59.8555,"67, avenue de l'Europe",Versailles,,78000,France,EMEA
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,NA
Online Diecast Creations Co.,Young,Valarie,6035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,NA
Collectables For Less Inc.,Nelson,Allen,6175558555,7825 Douglas Av.,Brickhaven,MA,58339,USA,NA
"Anna's Decorations, Ltd",O'Hara,Anna,02 9936 8555,201 Miller Street,North Sydney,NSW,2060,Australia,APAC
Quebec Home Shopping Network,Fresnisre,Jean,(514) 555-8054,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,NA
Osaka Souveniers Co.,Kentary,Mory,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,Japan
Motor Mint Distributors Inc.,Hernandez,Rosa,2155559857,11328 Douglas Av.,Philadelphia,PA,71270,USA,NA
Atelier graphique,Schmitt,Carine,40.32.2555,"54, rue Royale",Nantes,,44000,France,EMEA
Mini Classics,Frick,Steve,9145554562,3758 North Pendale Street,White Plains,NY,24067,USA,NA
Danish Wholesale Imports,Petersen,Jytte,31 12 3555,Vinb'ltet 34,Kobenhavn,,1734,Denmark,EMEA
"Stylish Desk Decors, Co.",Brown,Ann,(171) 555-0297,35 King George,London,,WX3 6FW,UK,EMEA
Mini Creations Ltd.,Tam,Wing C,5085559555,4575 Hillside Dr.,New Bedford,MA,50553,USA,NA
Alpha Cognac,Roulet,Annette,61.77.6555,1 rue Alsace-Lorraine,Toulouse,,31000,France,EMEA
"Double Decker Gift Stores, Ltd",Hardy,Thomas,(171) 555-7555,120 Hanover Sq.,London,,WA1 1DP,UK,EMEA
Enaco Distributors,Saavedra,Eduardo,(93) 203 4555,"Rambla de Catalu¤a, 23",Barcelona,,8022,Spain,EMEA
"Men 'R' US Retailers, Ltd.",Chandler,Michael,2155554369,6047 Douglas Av.,Los Angeles,CA,,USA,NA
Collectable Mini Designs Co.,Thompson,Valarie,7605558146,361 Furth Circle,San Diego,CA,91217,USA,NA
Petit Auto,Dewey,Catherine,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,,B-1180,Belgium,EMEA
"Royal Canadian Collectables, Ltd.",Lincoln,Elizabeth,(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,NA
Gifts4AllAges.com,Yoshido,Juri,6175559555,8616 Spinnaker Dr.,Boston,MA,51003,USA,NA
giftsbymail.co.uk,Bennett,Helen,(198) 555-8888,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA
"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,981-443655,Torikatu 38,Oulu,,90110,Finland,EMEA
The Sharp Gifts Warehouse,Frick,Sue,4085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,NA
"La Corne D'abondance, Co.",Bertrand,Marie,(1) 42.34.2555,"265, boulevard Charonne",Paris,,75012,France,EMEA
Mini Auto Werke,Mendel,Roland,7675-3555,Kirchgasse 6,Graz,,8010,Austria,EMEA
Diecast Collectables,Franco,Valarie,6175552555,6251 Ingle Ln.,Boston,MA,51003,USA,NA
Handji Gifts& Co,Victorino,Wendy,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,,69045,Singapore,APAC
Cruz & Sons Co.,Cruz,Arnold,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,,1227 MM,Philippines,Japan
Marseille Mini Autos,Lebihan,Laurence,91.24.4555,"12, rue des Bouchers",Marseille,,13008,France,EMEA
"Toms Spezialitten, Ltd",Pfalzheim,Henriette,0221-5554327,Mehrheimerstr. 369,Koln,,50739,Germany,EMEA
"Vida Sport, Ltd",Holz,Michael,0897-034555,Grenzacherweg 237,Gensve,,1203,Switzerland,EMEA
L'ordine Souveniers,Moroni,Maurizio,0522-556555,Strada Provinciale 124,Reggio Emilia,,42100,Italy,EMEA
Online Mini Collectables,Barajas,Miguel,6175557555,7635 Spinnaker Dr.,Brickhaven,MA,58339,USA,NA
"Blauer See Auto, Co.",Keitel,Roland,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,,60528,Germany,EMEA
Suominen Souveniers,Suominen,Kalle,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,,FIN-02271,Finland,EMEA
Muscle Machine Inc,Young,Jeff,2125557413,4092 Furth Circle,NYC,NY,10022,USA,NA
"Clover Collections, Co.",Cassidy,Dean,+353 1862 1555,25 Maiden Lane,Dublin,,2,Ireland,EMEA
CAF Imports,Fernandez,Jesus,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",Madrid,,28023,Spain,EMEA
"AV Stores, Co.",Ashworth,Victoria,(171) 555-1555,Fauntleroy Circus,Manchester,,EC2 5NT,UK,EMEA
Heintze Collectables,Ibsen,Palle,86 21 3555,Smagsloget 45,Aaarhus,,8200,Denmark,EMEA
Microscale Inc.,Kuo,Kee,2125551957,5290 North Pendale Street,NYC,NY,10022,USA,NA
Boards & Toys Co.,Young,Leslie,3105552373,4097 Douglas Av.,Glendale,CA,92561,USA,NA
"Iberia Gift Imports, Corp.",Roel,Jose Pedro,(95) 555 82 82,"C/ Romero, 33",Sevilla,,41101,Spain,EMEA
Signal Collectibles Ltd.,Taylor,Sue,4155554312,2793 Furth Circle,Brisbane,CA,94217,USA,NA
Mini Caravy,Citeaux,Frederique,88.60.1555,"24, place Kluber",Strasbourg,,67000,France,EMEA
Signal Gift Stores,King,Sue,7025551838,8489 Strong St.,Las Vegas,NV,83030,USA,NA
"Norway Gifts By Mail, Co.",Klaeboe,Jan,+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,,N 0106,Norway,EMEA
Rovelli Gifts,Rovelli,Giovanni,035-640555,Via Ludovico il Moro 22,Bergamo,,24100,Italy,EMEA
"Australian Collectables, Ltd",Connery,Sean,61-9-3844-6555,7 Allen Street,Glen Waverly,Victoria,3150,Australia,APAC
Gift Ideas Corp.,Lewis,Dan,2035554407,2440 Pompton St.,Glendale,CT,97561,USA,NA
"Bavarian Collectables Imports, Co.",Donnermeyer,Michael,+49 89 61 08 9555,Hansastr. 15,Munich,,80686,Germany,EMEA
Royale Belge,Cartrain,Pascale,(071) 23 67 2555,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,EMEA
Auto-Moto Classics Inc.,Taylor,Leslie,6175558428,16780 Pompton St.,Brickhaven,MA,58339,USA,NA
